store_nbr,family,sales_52w,sales_share,cum_share,ABC,mean_wk,std_wk,cv,XYZ,ABCXYZ,service_level,z,city,state,type,cluster
45,GROCERY I,4243945.0,0.01405851963171422,0.01405851963171422,A,81614.32692307692,14676.44845605307,0.17982686385303065,X,AX,0.98,2.054,Quito,Pichincha,A,11
47,GROCERY I,4023343.0,0.013327752020966338,0.02738627165268056,A,77371.98076923077,12931.063947082794,0.16712851110340246,X,AX,0.98,2.054,Quito,Pichincha,A,14
44,GROCERY I,3994597.0,0.013232527835607372,0.040618799488287935,A,76819.17307692308,13482.334634800869,0.17550741689578098,X,AX,0.98,2.054,Quito,Pichincha,A,5
44,BEVERAGES,3886200.0,0.012873451232937231,0.05349225072122517,A,74734.61538461539,11583.998388842252,0.15500177968704362,X,AX,0.98,2.054,Quito,Pichincha,A,5
46,GROCERY I,3790845.0,0.012557577643745547,0.06604982836497071,A,72900.86538461539,14409.969268352263,0.19766527039599543,X,AX,0.98,2.054,Quito,Pichincha,A,14
44,PRODUCE,3678182.6113,0.0121843714869045,0.07823419985187521,A,70734.28098653846,9493.691388941263,0.13421627047778834,X,AX,0.98,2.054,Quito,Pichincha,A,5
45,BEVERAGES,3551524.0,0.01176480135263398,0.0899990012045092,A,68298.53846153847,11714.41148875621,0.17151774770924086,X,AX,0.98,2.054,Quito,Pichincha,A,11
3,BEVERAGES,3363086.0,0.011140580416132454,0.10113958162064166,A,64674.730769230766,9296.365480217513,0.14374030428341805,X,AX,0.98,2.054,Quito,Pichincha,D,8
47,BEVERAGES,3354252.0,0.011111316850646435,0.1122508984712881,A,64504.846153846156,11392.086423210916,0.176608225621378,X,AX,0.98,2.054,Quito,Pichincha,A,14
48,GROCERY I,3227052.0,0.010689953308669797,0.1229408517799579,A,62058.692307692305,12589.542028672226,0.20286508723470997,X,AX,0.98,2.054,Quito,Pichincha,A,14
3,GROCERY I,3190286.0,0.010568162019484944,0.13350901379944283,A,61351.653846153844,9737.963478128138,0.15872373224928893,X,AX,0.98,2.054,Quito,Pichincha,D,8
49,GROCERY I,3175060.0,0.010517724273493307,0.14402673807293614,A,61058.846153846156,10620.810707922175,0.17394384887590914,X,AX,0.98,2.054,Quito,Pichincha,A,11
49,PRODUCE,3068783.5496,0.01016567221713129,0.15419241029006744,A,59015.068261538465,7840.799079657522,0.13286096772622774,X,AX,0.98,2.054,Quito,Pichincha,A,11
3,PRODUCE,3048607.1848,0.010098835860713515,0.16429124615078095,A,58627.06124615385,7364.814739583086,0.12562142094519738,X,AX,0.98,2.054,Quito,Pichincha,D,8
49,BEVERAGES,2892783.0,0.00958265165919661,0.17387389780997756,A,55630.442307692305,8640.213326645335,0.15531448193160335,X,AX,0.98,2.054,Quito,Pichincha,A,11
11,GROCERY I,2707831.191,0.008969979101529732,0.18284387691150727,A,52073.67675,10138.629488857461,0.19469778440135335,X,AX,0.98,2.054,Cayambe,Pichincha,B,6
9,GROCERY I,2557176.715,0.00847092011079078,0.19131479702229806,A,49176.47528846154,10065.583712164973,0.20468290281321758,X,AX,0.98,2.054,Quito,Pichincha,B,6
50,GROCERY I,2506083.0,0.008301666740310082,0.19961646376260814,A,48193.903846153844,8082.108663062723,0.1676998130066933,X,AX,0.98,2.054,Ambato,Tungurahua,A,14
45,PRODUCE,2447753.7382,0.008108444850743015,0.20772490861335116,A,47072.187273076925,6256.003483949249,0.1329023324889612,X,AX,0.98,2.054,Quito,Pichincha,A,11
46,BEVERAGES,2410582.0,0.00798530951057493,0.2157102181239261,A,46357.346153846156,9454.826178936686,0.2039552943250622,X,AX,0.98,2.054,Quito,Pichincha,A,14
47,PRODUCE,2268462.3682,0.00751452309988575,0.22322474122381186,A,43624.27631153846,5870.086747413463,0.13456009460174614,X,AX,0.98,2.054,Quito,Pichincha,A,14
7,PRODUCE,2002049.6252,0.006632002525843359,0.22985674374965523,A,38500.95433076923,5178.053440343951,0.13449156080283484,X,AX,0.98,2.054,Quito,Pichincha,D,8
51,PRODUCE,1980902.4967,0.006561950411319813,0.23641869416097505,A,38094.27878269231,4894.8847825415205,0.12849396127077556,X,AX,0.98,2.054,Guayaquil,Guayas,A,17
20,GROCERY I,1967704.211,0.006518229684821608,0.24293692384579665,A,37840.465596153845,7540.46315204461,0.19926983014740796,X,AX,0.98,2.054,Quito,Pichincha,B,6
8,GROCERY I,1958812.0,0.0064887732892008245,0.2494256971349975,A,37669.46153846154,5839.745765556481,0.15502599525065652,X,AX,0.98,2.054,Quito,Pichincha,D,8
40,GROCERY I,1955572.232,0.006478041212788384,0.25590373834778585,A,37607.15830769231,5559.384544650846,0.1478278283928079,X,AX,0.98,2.054,Machala,El Oro,C,3
48,BEVERAGES,1952134.0,0.006466651703247051,0.2623703900510329,A,37541.03846153846,7605.332999790831,0.202587176899287,X,AX,0.98,2.054,Quito,Pichincha,A,14
39,GROCERY I,1943326.712,0.006437476624104848,0.26880786667513773,A,37371.66753846154,6941.984771249738,0.18575528544732767,X,AX,0.98,2.054,Cuenca,Azuay,B,6
6,GROCERY I,1916641.169,0.00634907792191892,0.27515694459705664,A,36858.48401923077,5459.9526604898165,0.14813286020230676,X,AX,0.98,2.054,Quito,Pichincha,D,13
