store_nbr,family,city,state,type,cluster,ABC,XYZ,ABCXYZ,service_level,z,avg_weekly_demand,cv,best_model,best_wape,best_bias,mu_L,sigma_L,safety_stock,reorder_point
45,GROCERY I,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,81614.32692307692,0.17982686385303065,ets,0.1245884070806539,0.0761237108470082,176351.5001221862,26107.92137359499,53625.670501364104,229977.1706235503
47,GROCERY I,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,77371.98076923077,0.16712851110340246,sarimax_promo,0.1271679650854627,0.0550812536384601,153115.81180224026,29754.007892997768,61114.73221221741,214230.54401445767
44,GROCERY I,Quito,Pichincha,A,5,A,X,AX,0.98,2.054,76819.17307692308,0.17550741689578098,sarimax_promo,0.1209340297492377,0.0672000670581425,149412.09405168032,26608.361015890147,54653.573526638356,204065.66757831868
44,BEVERAGES,Quito,Pichincha,A,5,A,X,AX,0.98,2.054,74734.61538461539,0.15500177968704362,moving_avg_8,0.1289055584000457,0.0631965346131944,131426.0,25695.256338111325,52778.056518480655,184204.05651848065
46,GROCERY I,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,72900.86538461539,0.19766527039599543,ets,0.1587653088703952,0.1101605302967657,134250.5309952107,26150.76592539887,53713.67321076928,187964.20420597997
44,PRODUCE,Quito,Pichincha,A,5,A,X,AX,0.98,2.054,70734.28098653846,0.13421627047778834,moving_avg_8,0.1066112883998804,0.0489642460403901,124678.9105,21951.568643447295,45088.52199364074,169767.43249364075
45,BEVERAGES,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,68298.53846153847,0.17151774770924086,sarimax_promo,0.103267964470824,0.0542261128457833,78096.87617748033,20215.07117544913,41521.75619437251,119618.63237185284
3,BEVERAGES,Quito,Pichincha,D,8,A,X,AX,0.98,2.054,64674.730769230766,0.14374030428341805,sarimax_promo,0.1261100044599268,0.0497272551573003,67465.3315565675,20252.69039200661,41599.02606518158,109064.35762174908
47,BEVERAGES,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,64504.846153846156,0.176608225621378,moving_avg_8,0.1316419236017658,0.0706071555350993,115389.25,22387.380533600845,45983.67961601613,161372.92961601613
48,GROCERY I,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,62058.692307692305,0.20286508723470997,sarimax_promo,0.1273867365980128,0.0684310170576291,136734.78734590637,24921.185315006354,51188.11463702305,187922.9019829294
3,GROCERY I,Quito,Pichincha,D,8,A,X,AX,0.98,2.054,61351.653846153844,0.15872373224928893,seasonal_naive,0.1163295743742633,-0.0001203990626932,113777.0,16678.963666846932,34258.591371703595,148035.5913717036
49,GROCERY I,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,61058.846153846156,0.17394384887590914,ets,0.1341408367845095,0.064809570006522,105999.23451918359,19071.276388014976,39172.40170098276,145171.63622016634
49,PRODUCE,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,59015.068261538465,0.13286096772622774,moving_avg_8,0.1343603299836131,0.0877589078724138,100965.65950000001,19461.3675273915,39973.64890126214,140939.30840126215
3,PRODUCE,Quito,Pichincha,D,8,A,X,AX,0.98,2.054,58627.06124615385,0.12562142094519738,seasonal_naive,0.0933620107279633,0.0311658695178965,116239.2718,16809.667978658825,34527.05802816522,150766.32982816524
49,BEVERAGES,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,55630.442307692305,0.15531448193160335,sarimax_promo,0.1371680370409013,0.0822304821602529,58802.57917523031,17573.8318631326,36096.65064687436,94899.22982210468
11,GROCERY I,Cayambe,Pichincha,B,6,A,X,AX,0.98,2.054,52073.67675,0.19469778440135335,seasonal_naive,0.1196678095119681,-0.0072816387979328,97618.226,14723.26634969526,30241.58908227406,127859.81508227406
9,GROCERY I,Quito,Pichincha,B,6,A,X,AX,0.98,2.054,49176.47528846154,0.20468290281321758,seasonal_naive,0.1265049683146457,-0.0017585936649834,91868.768,13834.863045619288,28416.808695702013,120285.57669570201
50,GROCERY I,Ambato,Tungurahua,A,14,A,X,AX,0.98,2.054,48193.903846153844,0.1676998130066933,ets,0.0939407074190418,0.058239921054212,97553.762535146,14444.66812948578,29669.34833796379,127223.11087310979
45,PRODUCE,Quito,Pichincha,A,11,A,X,AX,0.98,2.054,47072.187273076925,0.1329023324889612,moving_avg_8,0.1026537007498869,0.0602047805120515,83776.731075,14680.907888439224,30154.584802854162,113931.31587785417
46,BEVERAGES,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,46357.346153846156,0.2039552943250622,naive,0.1400457691637285,0.046685671552834,18898.0,16766.683189190004,34438.76727059626,53336.76727059626
47,PRODUCE,Quito,Pichincha,A,14,A,X,AX,0.98,2.054,43624.27631153846,0.13456009460174614,moving_avg_8,0.1137146611808177,0.0882782294100543,74980.36265,13719.418134626601,28179.684848523037,103160.04749852302
8,GROCERY I,Quito,Pichincha,D,8,A,X,AX,0.98,2.054,37669.46153846154,0.15502599525065652,moving_avg_8,0.1256522107916194,0.0976880293722052,64462.25,12567.324877352246,25813.28529808151,90275.53529808151
40,GROCERY I,Machala,El Oro,C,3,A,X,AX,0.98,2.054,37607.15830769231,0.1478278283928079,sarimax_promo,0.120718098433933,0.0243731464333182,77199.35523104762,11862.22538581803,24365.01094247023,101564.36617351786
39,GROCERY I,Cuenca,Azuay,B,6,A,X,AX,0.98,2.054,37371.66753846154,0.18575528544732767,ets,0.1907234580220553,-0.0378739946162645,80815.57970136016,14460.56940526811,29702.009558420697,110517.58925978086
6,GROCERY I,Quito,Pichincha,D,13,A,X,AX,0.98,2.054,36858.48401923077,0.14813286020230676,sarimax_promo,0.1096482969278802,0.0812541032548615,67915.94261537815,13201.246302127056,27115.35990456897,95031.30251994712
51,GROCERY I,Guayaquil,Guayas,A,17,A,X,AX,0.98,2.054,35955.96153846154,0.15446459450157055,ets,0.1056148479561089,0.052823759013919,66915.38249041594,11015.191775018879,22625.203905888775,89540.58639630472
17,GROCERY I,Quito,Pichincha,C,12,A,X,AX,0.98,2.054,34302.61340384615,0.16119482057801485,seasonal_naive,0.1106079275415656,0.0456225696500294,63638.0,9912.227264007486,20359.714800271377,83997.71480027138
51,BEVERAGES,Guayaquil,Guayas,A,17,A,X,AX,0.98,2.054,33985.519230769234,0.1446636368707306,sarimax_promo,0.118138123068207,0.0715896642072808,28579.470902051136,11308.35689979672,23227.36507218246,51806.835974233596
31,GROCERY I,Babahoyo,Los Rios,B,10,A,X,AX,0.98,2.054,31009.53253846154,0.2022726171548636,moving_avg_8,0.127905755217304,0.0628138794604092,58759.53875000001,10402.735411006515,21367.21853420738,80126.75728420739
2,GROCERY I,Quito,Pichincha,D,13,A,X,AX,0.98,2.054,30384.365384615383,0.16133449981504755,seasonal_naive,0.1171477962886468,0.0210870928756099,53861.0,8644.219725728093,17755.2273166455,71616.2273166455
