family,week_start,weekly_sales,store_nbr,promo_days,promo_avg,n_days,city,state,type,cluster,is_complete_week
AUTOMOTIVE,2012-12-31,1287.0,27.5,0.0,0.0,6.0,Quito,Pichincha,D,8.481481481481481,0.0
AUTOMOTIVE,2013-01-07,1514.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-01-14,1511.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-01-21,1517.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-01-28,1807.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-02-04,1940.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-02-11,1794.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-02-18,1668.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-02-25,1673.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-03-04,1520.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-03-11,1596.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-03-18,1768.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-03-25,1817.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-04-01,1765.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-04-08,1686.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-04-15,1811.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-04-22,1761.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-04-29,2046.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-05-06,1812.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-05-13,2079.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-05-20,2224.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-05-27,2110.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-06-03,1953.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-06-10,1792.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-06-17,1932.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-06-24,1859.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-07-01,1887.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-07-08,1829.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-07-15,1953.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-07-22,2081.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-07-29,2093.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-08-05,1922.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-08-12,1803.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-08-19,1756.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-08-26,1754.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-09-02,1724.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-09-09,1569.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-09-16,1543.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
AUTOMOTIVE,2013-09-23,1579.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0
