sku,total_demand,total_shipped,total_unmet,stockout_periods,avg_on_hand,orders,fill_rate
AUTOMOTIVE,554822.0,553703.0893197785,1118.9106802215028,1,16656.662670166676,19,0.9979832979221759
BABY CARE,10051.0,9818.34760360799,232.65239639201036,4,644.3447163739969,21,0.9768528110244764
BEAUTY,337893.0,336003.58477356646,1889.4152264335244,2,11407.484535082494,21,0.9944082439516814
BEVERAGES,216954486.0,215982295.42106494,972190.5789350495,4,8266026.402159854,20,0.9955189192126912
BOOKS,6438.0,4665.753680002422,1772.2463199975784,5,1045.6463866476422,11,0.72472098167159
BREAD/BAKERY,42133945.576369,42052104.8588823,81840.71748669725,1,1276294.325723873,19,0.9980576061328421
CELEBRATION,761177.0,753486.1122095115,7690.88779048853,4,38457.97418927386,21,0.9898960586164721
CLEANING,97521289.0,97232347.31309229,288941.68690770864,1,2928587.105933257,23,0.9970371424550417
DAIRY,64487709.0,64487709.0,0.0,0,2194839.912373393,18,1.0
DELI,24110322.468767,24091313.544240326,19008.924526674353,2,724899.2754367172,19,0.9992115856371769
EGGS,15588296.0,15568937.747976827,19358.252023174195,1,444056.8271302777,19,0.9987581547063787
FROZEN FOODS,14073887.7199105,13464764.722673066,609122.9972374339,8,978523.6976163258,16,0.9567196350177142
GROCERY I,343462734.886,342795156.5288994,667578.3571006458,3,10954267.22355302,20,0.9980563295831142
GROCERY II,1962767.0,1949171.131382363,13595.8686176372,4,64091.02068597056,24,0.9930731112670846
HARDWARE,103470.0,103200.6127851151,269.38721488490955,3,3114.8179906366267,24,0.9973964703306668
HOME AND KITCHEN I,1861491.0,1820289.912138987,41201.08786101284,4,93035.03959451112,17,0.9778666198971611
HOME AND KITCHEN II,1520670.0,1476325.6203387028,44344.37966129719,4,88286.43509876024,21,0.970838919909449
HOME APPLIANCES,41601.0,41207.94776021984,393.0522397801583,3,1652.2925409739435,18,0.9905518559702615
HOME CARE,16022744.0,15949906.278774327,72837.7212256738,2,831993.992766642,19,0.9954541044139709
LADIESWEAR,651159.0,646264.888485539,4894.111514460987,2,32851.052953828956,21,0.9924839992775005
LAWN AND GARDEN,548842.0,528364.70955847,20477.290441530044,5,24747.392387292453,20,0.9626900083420528
LINGERIE,653114.0,643538.9090909091,9575.090909090908,2,28578.9404551666,19,0.985339326811105
"LIQUOR,WINE,BEER",7746640.0,7699727.525909066,46912.47409093415,3,254903.38612695338,20,0.9939441520335353
MAGAZINES,266359.0,260744.18135135894,5614.818648641056,4,15312.410014190798,17,0.9789201091435168
MEATS,31086468.4040749,31035186.439809717,51281.964265180985,1,877326.751527079,19,0.998350344477906
PERSONAL CARE,24592051.0,24494361.52672566,97689.47327434015,1,788114.118400827,23,0.9960275995981653
PET SUPPLIES,356584.0,349056.9277177768,7527.07228222322,5,17535.716571510362,19,0.9788911665071227
PLAYERS AND ELECTRONICS,562608.0,551993.536775819,10614.463224181032,4,30941.591501033217,20,0.9811334655316277
POULTRY,31876004.471721,31876004.471721,0.0,0,987204.6242782231,19,1.0
PREPARED FOODS,8799895.1169425,8789611.107782792,10284.009159707406,1,247991.6632171488,19,0.9988313486668824
PRODUCE,122704684.67646,122702807.07050054,1877.6059594637481,1,6254436.20001734,19,0.9999846981721651
SCHOOL AND OFFICE SUPPLIES,269316.0,233232.97448080266,36083.025519197356,8,27375.917946846424,13,0.8660197481055778
SEAFOOD,2015431.8828236,2015431.8828236,0.0,0,56816.683340151576,19,0.9999999999999996
