sku,total_demand,total_shipped,total_unmet,stockout_weeks,avg_on_hand,avg_inv_position,orders_placed,holding_cost,ordering_cost,stockout_cost,fill_rate,total_cost,scenario
AUTOMOTIVE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
BABY CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
BEAUTY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
BEVERAGES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
BOOKS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
BREAD/BAKERY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
CELEBRATION,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
CLEANING,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
DAIRY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
DELI,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
EGGS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
FROZEN FOODS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
GROCERY I,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
GROCERY II,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
HARDWARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
HOME AND KITCHEN I,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
HOME AND KITCHEN II,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
HOME APPLIANCES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
HOME CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
LADIESWEAR,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
LAWN AND GARDEN,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
LINGERIE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
"LIQUOR,WINE,BEER",0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
MAGAZINES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
MEATS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
PERSONAL CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
PET SUPPLIES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
PLAYERS AND ELECTRONICS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
POULTRY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
PREPARED FOODS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
PRODUCE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
SCHOOL AND OFFICE SUPPLIES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
SEAFOOD,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,baseline
