sku,total_demand,total_shipped,total_unmet,stockout_weeks,avg_on_hand,avg_inv_position,orders_placed,holding_cost,ordering_cost,stockout_cost,fill_rate,total_cost,scenario
AUTOMOTIVE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
BABY CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
BEAUTY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
BEVERAGES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
BOOKS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
BREAD/BAKERY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
CELEBRATION,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
CLEANING,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
DAIRY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
DELI,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
EGGS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
FROZEN FOODS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
GROCERY I,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
GROCERY II,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
HARDWARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
HOME AND KITCHEN I,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
HOME AND KITCHEN II,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
HOME APPLIANCES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
HOME CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
LADIESWEAR,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
LAWN AND GARDEN,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
LINGERIE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
"LIQUOR,WINE,BEER",0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
MAGAZINES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
MEATS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
PERSONAL CARE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
PET SUPPLIES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
PLAYERS AND ELECTRONICS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
POULTRY,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
PREPARED FOODS,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
PRODUCE,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
SCHOOL AND OFFICE SUPPLIES,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
SEAFOOD,0.0,0.0,0.0,0,0.0,0.0,241,0.0,12050.0,0.0,0.0,12050.0,demand_up_20pct
