sku,total_demand,total_shipped,total_unmet,stockout_periods,avg_on_hand,orders,fill_rate
AUTOMOTIVE,554822.0,554549.4528385741,272.54716142588586,1,16212.429947257688,19,0.9995087664846979
BABY CARE,10051.0,9950.639205082927,100.3607949170729,4,500.00293197939015,17,0.9900148447997151
BEAUTY,337893.0,337356.8966739684,536.1033260315999,1,10807.74016536727,18,0.9984133932160992
BEVERAGES,216954486.0,216954486.0,0.0,0,7763740.5097492635,17,1.0
BOOKS,6438.0,5521.089448788356,916.9105512116444,2,854.5738523379979,10,0.857578354890882
BREAD/BAKERY,42133945.576369,42133945.576369,0.0,0,1233585.3404937405,19,1.0
CELEBRATION,761177.0,757895.1252952105,3281.874704789516,1,35717.867882054044,19,0.9956884210836763
CLEANING,97521289.0,97521289.0,0.0,0,2893223.5801441376,19,1.0
DAIRY,64487709.0,64487709.0,0.0,0,2136122.452894768,18,1.0
DELI,24110322.468767,24110322.468767,0.0,0,713497.3235984141,19,1.0
EGGS,15588296.0,15587796.914316399,499.0856836013263,1,436838.26018798456,19,0.9999679833072452
FROZEN FOODS,14073887.7199105,13478496.129257146,595391.5906533533,4,949675.4897272157,16,0.9576953005095352
GROCERY I,343462734.886,343462734.886,0.0,0,10614302.813308012,18,1.0
GROCERY II,1962767.0,1950766.3254952196,12000.674504780414,1,63578.914636195565,21,0.9938858384592866
HARDWARE,103470.0,103470.0,0.0,0,3046.015054122324,19,0.9999999999999903
HOME AND KITCHEN I,1861491.0,1854602.0026656738,6888.997334326181,1,80724.40726691068,17,0.996299204597644
HOME AND KITCHEN II,1520670.0,1498858.1886437591,21811.81135624094,1,76522.06458838427,19,0.9856564465950918
HOME APPLIANCES,41601.0,41447.012976322025,153.98702367797205,2,1505.4647983027605,18,0.9962984778327693
HOME CARE,16022744.0,16022744.0,0.0,0,708284.2492499227,16,0.9999999999999999
LADIESWEAR,651159.0,650526.1200947859,632.8799052140239,1,29219.096468846055,18,0.9990280716304081
LAWN AND GARDEN,548842.0,542056.5902976937,6785.409702306264,4,21697.535084157265,19,0.9876368614240395
LINGERIE,653114.0,649614.4545454546,3499.545454545454,1,22471.591163649086,19,0.9946417540359777
"LIQUOR,WINE,BEER",7746640.0,7692671.0971606225,53968.90283937717,3,262042.70677623688,18,0.993033250178222
MAGAZINES,266359.0,263791.63853629044,2567.3614637095416,2,13631.56704096147,17,0.9903612738307678
MEATS,31086468.4040749,31037574.813042644,48893.591032253666,1,872248.188963794,19,0.9984271744735775
PERSONAL CARE,24592051.0,24552582.51015685,39468.48984314827,1,747422.405006443,20,0.9983950712430147
PET SUPPLIES,356584.0,353581.609691311,3002.3903086889877,3,16022.440072801743,16,0.9915801317257926
PLAYERS AND ELECTRONICS,562608.0,560367.5643942518,2240.435605748178,1,26319.72820637523,18,0.9960177679561093
POULTRY,31876004.471721,31876004.471721,0.0,0,966584.2139938574,19,1.0
PREPARED FOODS,8799895.1169425,8799895.1169425,0.0,0,243130.35884470996,19,0.9999999999999998
PRODUCE,122704684.67646,122704684.67646,0.0,0,5934709.543169651,15,1.0
SCHOOL AND OFFICE SUPPLIES,269316.0,233505.81612009037,35810.18387990962,4,23904.503622437238,13,0.8670328391929537
SEAFOOD,2015431.8828236,2015431.8828236,0.0,0,56687.55172255128,19,0.9999999999999996
