sku,total_demand,total_shipped,stockout_weeks,fill_rate
AUTOMOTIVE,0.0,0.0,0,
BABY CARE,0.0,0.0,0,
BEAUTY,0.0,0.0,0,
BEVERAGES,0.0,0.0,0,
BOOKS,0.0,0.0,0,
BREAD/BAKERY,0.0,0.0,0,
CELEBRATION,0.0,0.0,0,
CLEANING,0.0,0.0,0,
DAIRY,0.0,0.0,0,
DELI,0.0,0.0,0,
EGGS,0.0,0.0,0,
FROZEN FOODS,0.0,0.0,0,
GROCERY I,0.0,0.0,0,
GROCERY II,0.0,0.0,0,
HARDWARE,0.0,0.0,0,
HOME AND KITCHEN I,0.0,0.0,0,
HOME AND KITCHEN II,0.0,0.0,0,
HOME APPLIANCES,0.0,0.0,0,
HOME CARE,0.0,0.0,0,
LADIESWEAR,0.0,0.0,0,
LAWN AND GARDEN,0.0,0.0,0,
LINGERIE,0.0,0.0,0,
"LIQUOR,WINE,BEER",0.0,0.0,0,
MAGAZINES,0.0,0.0,0,
MEATS,0.0,0.0,0,
PERSONAL CARE,0.0,0.0,0,
PET SUPPLIES,0.0,0.0,0,
PLAYERS AND ELECTRONICS,0.0,0.0,0,
POULTRY,0.0,0.0,0,
PREPARED FOODS,0.0,0.0,0,
PRODUCE,0.0,0.0,0,
SCHOOL AND OFFICE SUPPLIES,0.0,0.0,0,
SEAFOOD,0.0,0.0,0,
